Freq (Hz),Ls,Rs,Status
20.00,7.69072e-07,4.40522e-04,0
32.48,7.06743e-07,3.19758e-04,0
52.73,5.04104e-07,2.52545e-04,0
85.63,5.92361e-07,2.13060e-04,0
139.04,4.29772e-07,3.14417e-04,0
225.77,4.25530e-07,2.84908e-04,0
366.60,3.30640e-07,3.76237e-04,0
595.27,3.93332e-07,4.43503e-04,0
966.59,3.69205e-07,5.67085e-04,0
1569.52,3.35777e-07,7.67737e-04,0
2548.55,3.26836e-07,8.42751e-04,0
4138.28,3.14707e-07,1.11853e-03,0
6719.64,3.06420e-07,1.34640e-03,0
10911.19,2.99865e-07,1.82896e-03,0
17717.34,2.92872e-07,2.33242e-03,0
28769.00,2.88005e-07,3.25460e-03,0
46714.43,2.83486e-07,4.50516e-03,0
75853.80,2.78852e-07,6.28799e-03,0
123169.64,2.75542e-07,8.28869e-03,0
200000.00,4.51623e-07,6.05989e-03,0
